"@Lesson","@Sequence","Chinese (traditional)","Chinese (simplified)","pinyin","English","part of speech"
"BLCU Reader Chapter 16","45","腦","脑","nǎo","brain","N"
"BLCU Reader Chapter 16","46","查","查","chá","check; look up","V"
"BLCU Reader Chapter 16","47","新實用漢語課本","新实用汉语课本","xīn shíyòng hànyǔ kèběn","New Practical Chinese Reader","PN"
"BLCU Reader Chapter 16","48","實用","实用","shíyòng","practical","A"
"BLCU Reader Chapter 16","49","閱覽室","阅览室","yuèlǎnshì","reading room","N"
"BLCU Reader Chapter 16","50","雜志","杂志","zázhì","magazine","N"
"BLCU Reader Chapter 16","51","問答","问答","wèndá","questions and answers","N"
"BLCU Reader Chapter 16","52","預定","预定","yùdìng","to reserve; to book","V"
"BLCU Reader Chapter 16","53","房間","房间","fángjiān","room","N"
"BLCU Reader Chapter 16","54","國籍","国籍","guójí","nationality","N"
"BLCU Reader Chapter 16","55","鑰匙","钥匙","yàoshi","key","N"
"BLCU Reader Chapter 16","56","目錄","目录","mùlù","catalogue; list","N"
"BLCU Reader Chapter 16","57","續借","续借","xùjiè","renew","V"
"BLCU Reader Chapter 16","58","年齡","年龄","niánlíng","age","N"
"BLCU Reader Chapter 16","59","廣東","广东","guǎngdōng","Guangdong Province","PN"
"BLCU Reader Chapter 16","60","茶樓","茶楼","chálóu","tearooms; tea house","N"
"BLCU Reader Chapter 16","61","老人","老人","lǎorén","the elderly; the aged; old man or woman","N"
"BLCU Reader Chapter 16","62","開始","开始","kāishǐ","start; begin","V"
"BLCU Reader Chapter 16","63","孩子","孩子","háizi","child","N"
"BLCU Reader Chapter 16","64","熱鬧","热闹","rènao","lively; bustling with noise and excitement","A"
"BLCU Reader Chapter 17","1","旗袍","旗袍","qípáo","cheongsam; long formal dress with a slit skirt","N"
"BLCU Reader Chapter 17","2","比","比","bǐ","than (indicating comparison)","Prep"
"BLCU Reader Chapter 17","3","賣","卖","mài","sell","V"
"BLCU Reader Chapter 17","4","中式","中式","zhōngshì","Chinese style","A"
"BLCU Reader Chapter 17","5","式","式","shì","type; style","N"
"BLCU Reader Chapter 17","6","已經","已经","yǐjīng","already","Adv"
"BLCU Reader Chapter 17","7","商店","商店","shāngdiàn","shop; store","N"
"BLCU Reader Chapter 17","8","商","商","shāng","commerce; business","N"
"BLCU Reader Chapter 17","9","店","店","diàn","shop; store","N"
"BLCU Reader Chapter 17","10","極了","极了","jí(le)","extremely","Adv"
"BLCU Reader Chapter 17","11","一定","一定","yídìng","must; surely","Adv"
"BLCU Reader Chapter 17","12","差","差","chà","not up to standard; poor; bad","A"
"BLCU Reader Chapter 17","13","開始","开始","kāishǐ","start; begin","V"
"BLCU Reader Chapter 17","14","太極拳","太极拳","tàijíquán","Taiji Boxing","N"
"BLCU Reader Chapter 17","15","套","套","tào","set; suit; suite","M"
"BLCU Reader Chapter 17","16","帥","帅","shuài","handsome; smart","A"
"BLCU Reader Chapter 17","17","顏色","颜色","yánsè","color","N"
"BLCU Reader Chapter 17","18","黑","黑","hēi","black","A"
"BLCU Reader Chapter 17","19","紅","红","hóng","red","A"
"BLCU Reader Chapter 17","20","白","白","bái","white","A"
"BLCU Reader Chapter 17","21","便宜","便宜","piányi","cheap","A"
"BLCU Reader Chapter 17","22","沒關係","没关系","méi guānxi","never mind; it doesn't matter","IE"
"BLCU Reader Chapter 17","23","公園","公园","gōngyuán","park","N"
"BLCU Reader Chapter 17","24","走","走","zǒu","walk; go","V"
"BLCU Reader Chapter 17","25","小時","小时","xiǎoshí","hour","N"
"BLCU Reader Chapter 17","26","過去","过去","guòqù","to pass","V"
"BLCU Reader Chapter 17","27","襯衫","衬衫","chènshān","shirt","N"
"BLCU Reader Chapter 17","28","綠","绿","lǜ","green","A"
"BLCU Reader Chapter 17","29","樣子","样子","yàngzi","shape; sample; model; pattern","N"
"BLCU Reader Chapter 17","30","售貨員","售货员","shòuhuòyuán","shop assistant; salesclerk","N"
"BLCU Reader Chapter 17","31","售","售","shòu","sell","V"
"BLCU Reader Chapter 17","32","貨","货","huò","goods","N"
"BLCU Reader Chapter 17","33","試","试","shì","try on; have a try","V"
"BLCU Reader Chapter 17","34","覺得","觉得","juéde","feel; think","V"
"BLCU Reader Chapter 17","35","合適","合适","héshì","suitable; appropriate; right","A"
"BLCU Reader Chapter 17","36","短","短","duǎn","short","A"
"BLCU Reader Chapter 17","37","高","高","gāo","high; tall","A"
"BLCU Reader Chapter 17","38","公分","公分","gōngfēn","centimeter","N"
"BLCU Reader Chapter 17","39","麻煩","麻烦","máfan","bother someone; trouble someone","V"
"BLCU Reader Chapter 17","40","絲綢","丝绸","sīchóu","silk","N"
"BLCU Reader Chapter 17","41","西服","西服","xīfú","western-style clothes; suit","N"
"BLCU Reader Chapter 17","42","雙","双","shuāng","pair","M"
"BLCU Reader Chapter 17","43","鞋子","鞋子","xié(zi)","shoes","N"
"BLCU Reader Chapter 17","44","頭髮","头发","tóufa","hair","N"
"BLCU Reader Chapter 17","45","打折","打折","dǎzhé","sell at a discount; give a disount","VO"
"BLCU Reader Chapter 17","46","條","条","tiáo","(measures long, narrow objects like trousers, skirts, snakes)","M"
"BLCU Reader Chapter 17","47","褲子","裤子","kùzi","trousers; pants","N"
"BLCU Reader Chapter 17","48","相聲","相声","xiàngshēng","comic dialogue; repartee","N"
"BLCU Reader Chapter 17","49","了不起","了不起","liǎobuqǐ","amazing; terrific; extraordinary","IE"
"BLCU Reader Chapter 17","50","薄","薄","báo","thin","A"
"BLCU Reader Chapter 17","51","頁","页","yè","page","M"
"BLCU Reader Chapter 17","52","料子","料子","liàozi","material for making clothing","N"
"BLCU Reader Chapter 17","53","布","布","bù","cloth; fabric","N"
"BLCU Reader Chapter 17","54","總是","总是","zǒngshì","always","Adv"
"BLCU Reader Chapter 17","55","錶","表","biǎo","watch","N"
"BLCU Reader Chapter 18","1","記","记","jì","remember; bear in mind","V"
"BLCU Reader Chapter 18","2","錯","错","cuò","wrong; erroneous","A"
"BLCU Reader Chapter 18","3","包裹","包裹","bāoguǒ","parcel; package","N"
"BLCU Reader Chapter 18","4","些","些","xiē","some","M"
"BLCU Reader Chapter 18","5","英文","英文","yīngwén","English (language)","N"
"BLCU Reader Chapter 18","6","詞典","词典","cídiǎn","dictionary","N"
"BLCU Reader Chapter 18","7","舊","旧","jiù","old; past; used","A"
"BLCU Reader Chapter 18","8","包","包","bāo","wrap","V"
"BLCU Reader Chapter 18","9","往","往","wǎng","to; toward","Prep"
"BLCU Reader Chapter 18","10","航空","航空","hángkōng","aviation","N"
"BLCU Reader Chapter 18","11","空","空","kōng","sky; air","N"
"BLCU Reader Chapter 18","12","海運","海运","hǎiyùn","sea transporation; ocean shipping; ocean freight","N"
"BLCU Reader Chapter 18","13","海","海","hǎi","sea; big lake","N"
"BLCU Reader Chapter 18","14","郵費","邮费","yóufèi","postage","N"
"BLCU Reader Chapter 18","15","費","费","fèi","fee; expenses; charge","N"
"BLCU Reader Chapter 18","16","取","取","qǔ","take; get; fetch","V"
"BLCU Reader Chapter 18","17","通知單","通知单","tōngzhīdān","advice note; letter of notice","N"
"BLCU Reader Chapter 18","18","通知","通知","tōngzhī","notify; inform/notification","V, N"
"BLCU Reader Chapter 18","19","單","单","dān","sheet, paper","N"
"BLCU Reader Chapter 18","20","海關","海关","hǎiguān","customhouse; customs","N"
"BLCU Reader Chapter 18","21","別","别","bié","don't","Adv"
"BLCU Reader Chapter 18","22","護照","护照","hùzhào","passport","N"
"BLCU Reader Chapter 18","23","客氣","客气","kèqi","polite; curteous","A"
"BLCU Reader Chapter 18","24","建國門","建国门","jiànguó mén","Jianguo Men (place in Beijing)","PN"
"BLCU Reader Chapter 18","25","門","门","mén","door; gate; entrance","N"
"BLCU Reader Chapter 18","26","路","路","lù","route","N"
"BLCU Reader Chapter 18","27","公共汽車","公共汽车","gōnggòng qìchē","bus","N"
"BLCU Reader Chapter 18","28","公共","公共","gōnggòng","public; common; communal","A"
"BLCU Reader Chapter 18","29","汽車","汽车","qìchē","automobile; motor vehicle; car","N"
"BLCU Reader Chapter 18","30","車","车","chē","vehicle","N"
"BLCU Reader Chapter 18","31","經過","经过","jīngguò","to pass; to go through","V"
"BLCU Reader Chapter 18","32","好像","好像","hǎoxiàng","to seem; to be like","V"
"BLCU Reader Chapter 18","33","像","像","xiàng","to seem; to look as if; to appear","V"
"BLCU Reader Chapter 18","34","咱們","咱们","zánmen","we; us","Pr"
"BLCU Reader Chapter 18","35","收票員","收票员","shòupiàoyuán","ticket seller; conductor","N"
"BLCU Reader Chapter 18","36","票","票","piào","ticket","N"
"BLCU Reader Chapter 18","37","大家","大家","dàjiā","all; everybody","Pr"
"BLCU Reader Chapter 18","38","裡邊","里边","lǐ(bian)","in; inside; within","N"
"BLCU Reader Chapter 18","39","站","站","zhàn","station; stop","N"
"BLCU Reader Chapter 18","40","乘客","乘客","chéngkè","passenger","N"
"BLCU Reader Chapter 18","41","乘","乘","chéng","to ride","V"
"BLCU Reader Chapter 18","42","客","客","kè","visitor; guest","N"
"BLCU Reader Chapter 18","43","地铁","地铁","dìtiě","underground railway; subway","N"
"BLCU Reader Chapter 18","44","放心","放心","fàngxīn","set one's mind at rest; be at ease; feel relieved","VO"
"BLCU Reader Chapter 18","45","糟糕","糟糕","zāogāo","in a wretched state; in a mess; too bad","A"
"BLCU Reader Chapter 18","46","前門","前门","qiánmén","Qianmen (place in Beijing)","PN"
"BLCU Reader Chapter 18","47","公斤","公斤","gōngjīn","kilogram","M"
"BLCU Reader Chapter 18","48","郵票","邮票","yóupiào","stamp","N"
"BLCU Reader Chapter 18","49","紀念","纪念","jìniàn","commemorate","N"
"BLCU Reader Chapter 18","50","然後","然后","ránhòu","then","Adv"
"BLCU Reader Chapter 18","51","準備","准备","zhǔnbèi","preparation/prepare; get ready","N, V"
"BLCU Reader Chapter 18","52","聰明","聪明","cōngming","clever; bright","A"
"BLCU Reader Chapter 18","53","兒子","儿子","érzi","son","N"
"BLCU Reader Chapter 18","54","封","封","fēng","(measure word for letter)","M"
"BLCU Reader Chapter 18","55","信封","信封","xìnfēng","envelope","N"
"BLCU Reader Chapter 18","56","貼","贴","tiē","to stick; to paste","V"
"BLCU Reader Chapter 18","57","孫子","孙子","sūnzi","grandson","N"
"BLCU Reader Chapter 19","1","中國畫","中国画","zhōngguóhuà","traditional Chinese Painting","N"
"BLCU Reader Chapter 19","2","畫兒","画儿","huàr","painting","N"
"BLCU Reader Chapter 19","3","油畫","油画","yóuhuà","oil painting","N"
"BLCU Reader Chapter 19","4","油","油","yóu","oil","N"
"BLCU Reader Chapter 19","5","一樣","一样","yíyàng","the same; alike","A"
"BLCU Reader Chapter 19","6","美術館","美术馆","měishùguǎn","art gallery","N"
"BLCU Reader Chapter 19","7","開門","开门","kāimén","open the door; begin a day's business","VO"
"BLCU Reader Chapter 19","8","畫","画","huà","to paint","V"
"BLCU Reader Chapter 19","9","老","老","lǎo","old; experienced","A"
"BLCU Reader Chapter 19","10","畫家","画家","huàjiā","painter; artist","N"
"BLCU Reader Chapter 19","11","家","家","jiā","specialist","N"
"BLCU Reader Chapter 19","12","不敢當","不敢当","bù gǎndāng","I really don't deserve this","IE"
"BLCU Reader Chapter 19","13","愛好","爱好","àihào","hobby/to like","N, V"
"BLCU Reader Chapter 19","14","唱","唱","chàng","to sing","V"
"BLCU Reader Chapter 19","15","京劇","京剧","jīngjù","Beijing opera","N"
"BLCU Reader Chapter 19","16","馬馬虎虎","马马虎虎","mǎmǎhūhū","so-so; careless","A"
"BLCU Reader Chapter 19","17","馬虎","马虎","mǎhu","careless","A"
"BLCU Reader Chapter 19","18","幅","幅","fú","(measure word for paintings, cloth)","M"
"BLCU Reader Chapter 19","19","徐悲鴻","徐悲鸿","xú bēihóng","(name of a well-known Chinese painter)","PN"
"BLCU Reader Chapter 19","20","電梯","电梯","diàntī","elevator","N"
"BLCU Reader Chapter 19","21","開玩笑","开玩笑","kāi wánxiào","crack a joke; make fun of","VO"
"BLCU Reader Chapter 19","22","美","美","měi","beautiful","A"
"BLCU Reader Chapter 19","23","材料","材料","cáiliào","material","N"
"BLCU Reader Chapter 19","24","紙","纸","zhǐ","paper","N"
"BLCU Reader Chapter 19","25","布","布","bù","cloth","N"
"BLCU Reader Chapter 19","26","主要","主要","zhǔyào","main","A"
"BLCU Reader Chapter 19","27","墨","墨","mò","Chinese ink","N"
"BLCU Reader Chapter 19","28","油彩","油彩","yóucǎi","greasepaint","N"
"BLCU Reader Chapter 19","29","別的","别的","biéde","other","Pr"
"BLCU Reader Chapter 19","30","空白","空白","kòngbái","blank space","N"
"BLCU Reader Chapter 19","31","只","只","zhǐ","only","Adv"
"BLCU Reader Chapter 19","32","匹","匹","pǐ","(measure word for horses)","M"
"BLCU Reader Chapter 19","33","想像","想像","xiǎngxiàng","imagine","V"
"BLCU Reader Chapter 19","34","跑","跑","pǎo","run","V"
"BLCU Reader Chapter 19","35","它","它","tā","it","Pr"
"BLCU Reader Chapter 19","36","風","风","fēng","wind","N"
"BLCU Reader Chapter 19","37","蝦","虾","xiā","shrimp","N"
"BLCU Reader Chapter 19","38","它們","它们","tāmen","they (refering to things, animals)","Pr"
"BLCU Reader Chapter 19","39","游","游","yóu","swim","V"
"BLCU Reader Chapter 19","40","齊白石","齐白石","qí báishí","(name of a well-known Chinese painter)","PN"
"BLCU Reader Chapter 19","41","騎","骑","qí","to ride (a horse or bike); to sit on the back of","V"
"BLCU Reader Chapter 19","42","自行車","自行车","zìxíngchē","bicycle","N"
"BLCU Reader Chapter 19","43","遠","远","yuǎn","far","A"
"BLCU Reader Chapter 19","44","跑步","跑步","pǎobù","run; jog","VO"
"BLCU Reader Chapter 19","45","書法","书法","shūfǎ","handwriting; calligraphy","N"
"BLCU Reader Chapter 19","46","業餘","业余","yèyú","spare time; amateur","N"
"BLCU Reader Chapter 19","47","節目","节目","jiémù","program","N"
"BLCU Reader Chapter 19","48","以前","以前","yǐqián","before; formerly; previously","N"
"BLCU Reader Chapter 19","49","瘦","瘦","shòu","thin","A"
"BLCU Reader Chapter 19","50","減肥","减肥","jiǎnféi","reduce; be on a diet","VO"
"BLCU Reader Chapter 19","51","管","管","guǎn","to discipline","V"
"BLCU Reader Chapter 19","52","生氣","生气","shēngqì","get angry; take offense","VO"
"BLCU Reader Chapter 19","53","鋼琴","钢琴","gāngqín","piano","N"
"BLCU Reader Chapter 19","54","孩子","孩子","háizi","child; children","N"
"BLCU Reader Chapter 19","55","書店","书店","shūdiàn","bookstore","N"
"BLCU Reader Chapter 19","56","教育","教育","jiàoyù","teach; educate","V"
"BLCU Reader Chapter 19","57","觀點","观点","guāndiǎn","opinion","N"
"BLCU Reader Chapter 20","1","新年","新年","xīnnián","new year","N"
"BLCU Reader Chapter 20","2","火鍋","火锅","huǒguō","hotpot","N"
"BLCU Reader Chapter 20","3","火","火","huǒ","fire; heat","N"
"BLCU Reader Chapter 20","4","鍋","锅","guō","pot; pan","N"
"BLCU Reader Chapter 20","5","飯館","饭馆","fànguǎn","restaurant","N"
"BLCU Reader Chapter 20","6","因為","因为","yīnwèi","because","Conj"
"BLCU Reader Chapter 20","7","所以","所以","suǒyǐ","so","Conj"
"BLCU Reader Chapter 20","8","愛","爱","ài","love","V"
"BLCU Reader Chapter 20","9","涮羊肉","涮羊肉","shuànyángròu","thin slices of mutton boiled in water","N"
"BLCU Reader Chapter 20","10","涮","涮","shuàn","cook thin slices of meat in boiling water","V"
"BLCU Reader Chapter 20","11","羊","羊","yáng","sheep","N"
"BLCU Reader Chapter 20","12","肉","肉","ròu","meat","N"
"BLCU Reader Chapter 20","13","熱","热","rè","hot","A"
"BLCU Reader Chapter 20","14","開車","开车","kāichē","drive a car","VO"
"BLCU Reader Chapter 20","15","開","开","kāi","drive; operate","V"
"BLCU Reader Chapter 20","16","郊區","郊区","jiāoqū","suburb; outskirts","N"
"BLCU Reader Chapter 20","17","或者","或者","huòzhě","or","Conj"
"BLCU Reader Chapter 20","18","音樂會","音乐会","yīnyuèhuì","concert","N"
"BLCU Reader Chapter 20","19","化妝","化妆","huàzhuāng","put on makeup","VO"
"BLCU Reader Chapter 20","20","化","化","huà","change","V"
"BLCU Reader Chapter 20","21","裝","妆","zhuāng","makeup","N"
"BLCU Reader Chapter 20","22","正式","正式","zhèngshì","formal","A"
"BLCU Reader Chapter 20","23","民樂","民乐","mínyuè","folk music played with traditional instruments","N"
"BLCU Reader Chapter 20","24","西方","西方","xīfāng","western; the West","N"
"BLCU Reader Chapter 20","25","西","西","xī","west","N"
"BLCU Reader Chapter 20","26","民族","民族","mínzú","nation; nationality","N"
"BLCU Reader Chapter 20","27","樂器","乐器","yuèqì","musical instrument","N"
"BLCU Reader Chapter 20","28","器","器","qì","utensil","N"
"BLCU Reader Chapter 20","29","演奏","演奏","yǎnzòu","give an instrumental performance","V"
"BLCU Reader Chapter 20","30","演","演","yǎn","perform; play","V"
"BLCU Reader Chapter 20","31","揍","揍","zòu","play a musical instrument","V"
"BLCU Reader Chapter 20","32","習慣","习惯","xíguàn","be accustomed to/habit","V, N"
"BLCU Reader Chapter 20","33","樂曲","乐曲","yuèqǔ","musical composition","N"
"BLCU Reader Chapter 20","34","曲","曲","qǔ","tune; melody","N"
"BLCU Reader Chapter 20","35","出租車","出租车","chūzūchē","taxi; cab","N"
"BLCU Reader Chapter 20","36","出租","出租","chūzū","hire; rent","V"
"BLCU Reader Chapter 20","37","路上","路上","lùshang","on the road; on the way","VO"
"BLCU Reader Chapter 20","38","花兒","花儿","huā(r)","flower","N"
"BLCU Reader Chapter 20","39","過去","过去","guòqù","in or of the past","N"
"BLCU Reader Chapter 20","40","照相機","照相机","zhàoxiàngjī","camera","N"
"BLCU Reader Chapter 20","41","照相","照相","zhàoxiàng","take a picture; to photograph","VO"
"BLCU Reader Chapter 20","42","機","机","jī","machine","N"
"BLCU Reader Chapter 20","43","旁邊","旁边","pángbiān","side","N"
"BLCU Reader Chapter 20","44","出發","出发","chūfā","set out; start off","V"
"BLCU Reader Chapter 20","45","篇","篇","piān","(measure word for essays and articles)","M"
"BLCU Reader Chapter 20","46","文章","文章","wénzhāng","essay; article","N"
"BLCU Reader Chapter 20","47","恭喜","恭喜","gōngxǐ","congratulations","IE"
"BLCU Reader Chapter 20","48","火車","火车","huǒchē","train","N"
"BLCU Reader Chapter 20","49","又","又","yòu","again","Adv"
"BLCU Reader Chapter 20","50","著急","着急","zháojí","feel anxious/anxious","VO, A"
"BLCU Reader Chapter 20","51","春江花月夜","春江花月夜","chūnjiānghuā yuèyè","(a famous, traditional Chinese music composition)","PN"
"BLCU Reader Chapter 20","52","春","春","chūn","spring","N"
"BLCU Reader Chapter 20","53","江","江","jiāng","river","N"
"BLCU Reader Chapter 20","54","月","月","yuè","moon","N"
"BLCU Reader Chapter 20","55","夜","夜","yè","night","N"
"BLCU Reader Chapter 20","56","小學","小学","xiǎoxué","primary school; elementary school","N"
"BLCU Reader Chapter 20","57","輛","辆","liàng","(measure word for vehicles)","M"
"BLCU Reader Chapter 20","58","音樂廳","音乐厅","yīnyuètīng","concert hall","N"
"BLCU Reader Chapter 20","59","幸福","幸福","xìngfú","happy","A"
"BLCU Reader Chapter 20","60","萬事如意","万事如意","wànshì rúyì","may all your wishes come true","IE"
"BLCU Reader Chapter 20","61","條","条","tiáo","(measure word for long, narrow, flexible objects like pants, skirts and snakes)","M"
"BLCU Reader Chapter 20","62","蛇","蛇","shé","snake","N"
"BLCU Reader Chapter 20","63","最","最","zuì","the most","Adv"
"BLCU Reader Chapter 20","64","添","添","tiān","add","V"
"BLCU Reader Chapter 20","65","腳","脚","jiǎo","foot","N"
"BLCU Reader Chapter 20","66","完","完","wán","finish","V"
"BLCU Reader Chapter 20","67","多餘","多余","duōyú","superfluous; uncalled for; surplus","A"
"BLCU Reader Chapter 20","68","足","足","zú","foot","N"
"BLCU Reader Chapter 21","1","隊員","队员","duìyuán","team member","N"
"BLCU Reader Chapter 21","2","隊","队","duì","team","N"
"BLCU Reader Chapter 21","3","不同","不同","bùtóng","different","A"
"BLCU Reader Chapter 21","4","國家","国家","guójiā","country","N"
"BLCU Reader Chapter 21","5","贏","赢","yíng","win","V"
"BLCU Reader Chapter 21","6","場","场","chǎng","match; set; (measure word for sports, films, performances)","M"
"BLCU Reader Chapter 21","7","足球","足球","zúqiú","soccer","N"
"BLCU Reader Chapter 21","8","足","足","zú","foot","N"
"BLCU Reader Chapter 21","9","球","球","qiú","ball","N"
"BLCU Reader Chapter 21","10","比賽","比赛","bǐsài","match/compete; have a match","N, V"
"BLCU Reader Chapter 21","11","賽","赛","sài","race; match/compete; race","N, V"
"BLCU Reader Chapter 21","12","同學","同学","tóngxué","classmate; schoolmate","N"
"BLCU Reader Chapter 21","13","記者","记者","jìzhě","reporter","N"
"BLCU Reader Chapter 21","14","大學生","大学生","dàxuéshēng","university student; college student","N"
"BLCU Reader Chapter 21","15","學校","学校","xuéxiào","school","N"
"BLCU Reader Chapter 21","16","水平","水平","shuǐpíng","level","N"
"BLCU Reader Chapter 21","17","教練","教练","jiàoliàn","coach","N"
"BLCU Reader Chapter 21","18","去年","去年","qùnián","last year","N"
"BLCU Reader Chapter 21","19","以後","以后","yǐhòu","after; afterwards","Adv"
"BLCU Reader Chapter 21","20","提高","提高","tígāo","improve; increase","V"
"BLCU Reader Chapter 21","21","提","提","tí","lift","V"
"BLCU Reader Chapter 21","22","踢","踢","tī","kick","V"
"BLCU Reader Chapter 21","23","左邊","左边","zuǒbian","left side","N"
"BLCU Reader Chapter 21","24","左","左","zuǒ","left","N"
"BLCU Reader Chapter 21","25","右邊","右边","yòubian","right side","N"
"BLCU Reader Chapter 21","26","右","右","yòu","right","N"
"BLCU Reader Chapter 21","27","東邊","东边","dōngbian","east side","N"
"BLCU Reader Chapter 21","28","東","东","dōng","east","N"
"BLCU Reader Chapter 21","29","離","离","lí","away; off; from","Prep"
"BLCU Reader Chapter 21","30","遠","远","yuǎn","far","A"
"BLCU Reader Chapter 21","31","花園小區","花园小区","huāyuán xiǎoqū","garden district","N"
"BLCU Reader Chapter 21","32","花園","花园","huāyuán","garden","N"
"BLCU Reader Chapter 21","33","區","区","qū","district; section; area","N"
"BLCU Reader Chapter 21","34","車站","车站","chēzhàn","bus stop","N"
"BLCU Reader Chapter 21","35","前邊","前边","qiánbian","front; ahead","N"
"BLCU Reader Chapter 21","36","前","前","qián","front; ahead; forward","N"
"BLCU Reader Chapter 21","37","拐","拐","guǎi","turn","V"
"BLCU Reader Chapter 21","38","下邊","下边","xiàbian","below; underneath","N"
"BLCU Reader Chapter 21","39","下","下","xià","down; under","N"
"BLCU Reader Chapter 21","40","書店","书店","shūdiàn","bookstore","N"
"BLCU Reader Chapter 21","41","上邊","上边","shàngbian","above; over; upward","N"
"BLCU Reader Chapter 21","42","上","上","shàng","upper; up","N"
"BLCU Reader Chapter 21","43","平方米","平方米","píngfāngmǐ","square meter","M"
"BLCU Reader Chapter 21","44","平方","平方","píngfāng","square","A"
"BLCU Reader Chapter 21","45","米","米","mǐ","meter","M"
"BLCU Reader Chapter 21","46","衛生間","卫生间","wèishēngjiān","washroom; bathroom","N"
"BLCU Reader Chapter 21","47","衛生","卫生","wèishēng","hygiene; health","N"
"BLCU Reader Chapter 21","48","客廳","客厅","kètīng","living room","N"
"BLCU Reader Chapter 21","49","北邊","北边","běibian","north side","N"
"BLCU Reader Chapter 21","50","北","北","běi","north","N"
"BLCU Reader Chapter 21","51","臥室","卧室","wòshì","bedroom","N"
"BLCU Reader Chapter 21","52","臥","卧","wò","lie on one's back","V"
"BLCU Reader Chapter 21","53","外邊","外边","wàibian","outside","N"
"BLCU Reader Chapter 21","54","陽臺","阳台","yángtái","balcony","N"
"BLCU Reader Chapter 21","55","電影院","电影院","diànyǐngyuàn","movie theater; cinema","N"
"BLCU Reader Chapter 21","56","咖啡館","咖啡馆","kāfēiguǎn","café","N"
"BLCU Reader Chapter 21","57","南邊","南边","nánbian","south side","N"
"BLCU Reader Chapter 21","58","足球場","足球场","zúqiúchǎng","soccer field","N"
"BLCU Reader Chapter 21","59","出差","出差","chūchāi","go on a business trip","V"
"BLCU Reader Chapter 21","60","後邊","后边","hòubian","back side; behind","N"
"BLCU Reader Chapter 21","61","輸","输","shū","lose","V"
"BLCU Reader Chapter 21","62","天堂","天堂","tiāntáng","heaven; paradise","N"
"BLCU Reader Chapter 21","63","蘇杭","苏杭","sū háng","Suzhou and Hangzhou","PN"
"BLCU Reader Chapter 21","64","蘇州","苏州","sūzhōu","Suzhou","PN"
"BLCU Reader Chapter 21","65","杭州","杭州","hángzhōu","Hangzhou","PN"
"BLCU Reader Chapter 21","66","城市","城市","chéngshì","city","N"
"BLCU Reader Chapter 21","67","山水","山水","shānshuǐ","landscape","N"
"BLCU Reader Chapter 21","68","山","山","shān","hill; mountain","N"
"BLCU Reader Chapter 21","69","園林","园林","yuánlín","garden; park","N"
"BLCU Reader Chapter 21","70","修建","修建","xiūjiàn","build; construct","V"
"BLCU Reader Chapter 21","71","詩人","诗人","shīrén","poet","N"
"BLCU Reader Chapter 21","72","設計","设计","shèjì","design","V"
"BLCU Reader Chapter 21","73","建築師","建筑师","jiànzhùshī","architect","N"
"BLCU Reader Chapter 22","1","過","过","guo","(indicating a past experience)","AsPt"
"BLCU Reader Chapter 22","2","越劇","越剧","yuèjù","Shaoxing opera","N"
"BLCU Reader Chapter 22","3","劇","剧","jù","opera; dramatic work; play","N"
"BLCU Reader Chapter 22","4","雖然","虽然","suīrán","although; though","Conj"
"BLCU Reader Chapter 22","5","但是","但是","dànshì","but; whereas; yet","Conj"
"BLCU Reader Chapter 22","6","劇團","剧团","jùtuán","opera troupe; theatrical group","N"
"BLCU Reader Chapter 22","7","地方戲","地方戏","dìfāngxì","regional opera","N"
"BLCU Reader Chapter 22","8","戲","戏","xì","drama; play; show","N"
"BLCU Reader Chapter 22","9","上演","上演","shàngyǎn","stage a show; perform","V"
"BLCU Reader Chapter 22","10","演","演","yǎn","act; perform; play","V"
"BLCU Reader Chapter 22","11","古典","古典","gǔdiǎn","classical","A"
"BLCU Reader Chapter 22","12","小說","小说","xiǎoshuō","novel; fiction","N"
"BLCU Reader Chapter 22","13","遍","遍","biàn","number of times","M"
"BLCU Reader Chapter 22","14","部","部","bù","(measure word for films, works of literature)","M"
"BLCU Reader Chapter 22","15","愛情","爱情","àiqíng","love","N"
"BLCU Reader Chapter 22","16","故事","故事","gùshi","story; tale","N"
"BLCU Reader Chapter 22","17","感人","感人","gǎnrén","touching; moving","A"
"BLCU Reader Chapter 22","18","座位","座位","zuòwèi","seat","N"
"BLCU Reader Chapter 22","19","排","排","pái","line; row","N"
"BLCU Reader Chapter 22","20","西邊","西边","xībian","west side","N"
"BLCU Reader Chapter 22","21","打的","打的","dǎdī","take a taxi","VO"
"BLCU Reader Chapter 22","22","見","见","jiàn","see; meet with","V"
"BLCU Reader Chapter 22","23","長安大戲院","长安大戏院","cháng'ān dà xìyuàn","Chang'an Theater","PN"
"BLCU Reader Chapter 22","24","戲院","戏院","xìyuàn","theater","N"
"BLCU Reader Chapter 22","25","紅樓夢","红楼梦","hónglóu méng","Dream of the Red Chamber","PN"
"BLCU Reader Chapter 22","26","夢","梦","mèng","dream","N"
"BLCU Reader Chapter 22","27","從來","从来","cónglái","all along; always","Adv"
"BLCU Reader Chapter 22","28","這麼","这么","zhème","so; such; like this","Pr"
"BLCU Reader Chapter 22","29","主角","主角","zhǔjué","leading actor or actress","N"
"BLCU Reader Chapter 22","30","特別","特别","tèbié","extraordinary; especially; particularly","Adv"
"BLCU Reader Chapter 22","31","優美","优美","yōuměi","graceful; fine; exquisite; elegant","A"
"BLCU Reader Chapter 22","32","風格","风格","fēnggé","style; manner","N"
